band_00,rock_type
164.0,0.0
134.0,1.0
128.0,1.0
120.0,1.0
128.0,1.0
164.0,1.0
120.0,1.0
141.0,1.0
108.0,1.0
133.0,1.0
184.0,0.0
146.0,1.0
154.0,1.0
180.0,0.0
125.0,1.0
108.0,1.0
175.0,0.0
131.0,1.0
125.0,1.0
123.0,1.0
179.0,0.0
131.0,1.0
169.0,1.0
154.0,1.0
151.0,1.0
131.0,1.0
128.0,1.0
151.0,1.0
138.0,1.0
143.0,1.0
179.0,1.0
174.0,0.0
126.0,1.0
171.0,1.0
154.0,1.0
151.0,0.0
181.0,0.0
153.0,0.0
143.0,1.0
123.0,1.0
182.0,0.0
148.0,1.0
121.0,1.0
128.0,1.0
121.0,1.0
164.0,1.0
118.0,1.0
118.0,1.0
166.0,0.0
134.0,1.0
133.0,1.0
146.0,1.0
156.0,1.0
156.0,0.0
171.0,0.0
154.0,1.0
172.0,1.0
184.0,0.0
146.0,1.0
154.0,1.0
133.0,1.0
167.0,0.0
149.0,1.0
125.0,1.0
169.0,0.0
136.0,1.0
118.0,1.0
120.0,1.0
156.0,1.0
118.0,1.0
159.0,1.0
118.0,1.0
146.0,1.0
136.0,1.0
184.0,0.0
146.0,1.0
146.0,1.0
144.0,1.0
164.0,0.0
144.0,1.0
108.0,1.0
113.0,1.0
123.0,1.0
138.0,1.0
144.0,1.0
130.0,1.0
130.0,1.0
179.0,0.0
174.0,1.0
151.0,0.0
136.0,1.0
131.0,1.0
151.0,1.0
125.0,1.0
146.0,1.0
182.0,0.0
199.0,0.0
192.0,0.0
156.0,1.0
169.0,0.0
164.0,1.0
154.0,1.0
169.0,1.0
121.0,1.0
209.0,0.0
110.0,1.0
169.0,0.0
148.0,1.0
131.0,1.0
194.0,0.0
131.0,1.0
176.0,0.0
133.0,1.0
156.0,1.0
141.0,1.0
141.0,1.0
166.0,0.0
149.0,1.0
202.0,0.0
136.0,1.0
167.0,0.0
136.0,1.0
174.0,0.0
192.0,0.0
172.0,0.0
113.0,1.0
138.0,1.0
156.0,0.0
131.0,1.0
159.0,1.0
108.0,1.0
164.0,0.0
181.0,0.0
167.0,0.0
153.0,1.0
177.0,0.0
166.0,0.0
148.0,1.0
159.0,1.0
176.0,0.0
146.0,1.0
154.0,0.0
156.0,1.0
222.0,0.0
128.0,1.0
118.0,1.0
183.0,0.0
139.0,1.0
139.0,1.0
123.0,1.0
151.0,1.0
108.0,1.0
186.0,1.0
138.0,1.0
138.0,1.0
136.0,1.0
179.0,0.0
181.0,0.0
141.0,1.0
194.0,1.0
166.0,1.0
131.0,1.0
169.0,1.0
154.0,1.0
166.0,0.0
123.0,1.0
153.0,1.0
194.0,0.0
171.0,0.0
154.0,1.0
174.0,0.0
141.0,1.0
161.0,1.0
154.0,0.0
134.0,1.0
170.0,0.0
133.0,1.0
128.0,1.0
169.0,0.0
209.0,0.0
189.0,0.0
141.0,1.0
136.0,1.0
182.0,0.0
181.0,0.0
121.0,1.0
186.0,0.0
146.0,1.0
141.0,1.0
144.0,1.0
169.0,1.0
126.0,1.0
169.0,0.0
125.0,1.0
179.0,0.0
159.0,1.0
144.0,1.0
139.0,1.0
146.0,1.0
141.0,1.0
146.0,0.0
115.0,1.0
128.0,1.0
207.0,0.0
128.0,1.0
151.0,1.0
156.0,1.0
120.0,1.0
136.0,1.0
151.0,1.0
151.0,0.0
149.0,1.0
113.0,1.0
131.0,1.0
149.0,1.0
166.0,1.0
199.0,0.0
133.0,1.0
125.0,1.0
154.0,1.0
136.0,1.0
156.0,1.0
144.0,1.0
133.0,1.0
151.0,1.0
151.0,1.0
176.0,0.0
108.0,1.0
143.0,1.0
136.0,1.0
136.0,1.0
164.0,0.0
133.0,1.0
154.0,1.0
176.0,0.0
151.0,1.0
202.0,0.0
164.0,0.0
138.0,1.0
167.0,1.0
144.0,1.0
152.0,0.0
141.0,1.0
156.0,1.0
149.0,1.0
151.0,1.0
123.0,1.0
174.0,1.0
189.0,0.0
107.0,1.0
187.0,0.0
174.0,0.0
174.0,0.0
136.0,1.0
120.0,1.0
115.0,1.0
113.0,1.0
146.0,1.0
121.0,1.0
164.0,1.0
162.0,1.0
113.0,1.0
125.0,1.0
159.0,1.0
174.0,0.0
151.0,1.0
146.0,1.0
146.0,1.0
164.0,1.0
174.0,0.0
144.0,1.0
126.0,1.0
126.0,1.0
151.0,1.0
126.0,1.0
162.0,1.0
110.0,1.0
146.0,1.0
202.0,0.0
123.0,1.0
164.0,1.0
141.0,1.0
159.0,1.0
182.0,0.0
135.0,0.0
139.0,0.0
130.0,0.0
141.0,0.0
149.0,0.0
134.0,0.0
221.0,0.0
213.0,0.0
216.0,0.0
220.0,0.0
206.0,0.0
203.0,0.0
190.0,0.0
227.0,0.0
198.0,0.0
212.0,0.0
224.0,0.0
215.0,0.0
226.0,0.0
218.0,0.0
192.0,0.0
191.0,0.0
210.0,0.0
214.0,0.0
225.0,0.0
205.0,0.0
223.0,0.0
217.0,0.0
194.0,0.0
197.0,0.0
211.0,0.0
200.0,0.0
219.0,0.0
208.0,0.0
199.0,0.0
195.0,0.0
